name,date,rank,diff
무한의 농장,2019_11_24,14,2
무한의 농장,2019_11_25,12,4
무한의 농장,2019_11_26,16,4
무한의 농장,2019_11_27,20,0
무한의 농장,2019_11_28,20,1
무한의 농장,2019_11_29,21,0
워너비챌린지,2019_11_26,101,0
워너비챌린지,2019_11_27,101,43
워너비챌린지,2019_11_28,58,42
워너비챌린지,2019_11_29,16,0
진화소녀,2019_11_26,101,0
진화소녀,2019_11_27,101,85
진화소녀,2019_11_28,16,9
진화소녀,2019_11_29,7,0
밥 먹고 갈래요?,2019_09_01,101,0
밥 먹고 갈래요?,2019_09_02,101,0
밥 먹고 갈래요?,2019_09_03,101,0
밥 먹고 갈래요?,2019_09_04,101,0
밥 먹고 갈래요?,2019_09_05,101,0
밥 먹고 갈래요?,2019_09_06,101,0
밥 먹고 갈래요?,2019_09_07,101,0
밥 먹고 갈래요?,2019_09_08,101,0
밥 먹고 갈래요?,2019_09_09,101,0
밥 먹고 갈래요?,2019_09_10,101,0
밥 먹고 갈래요?,2019_09_11,101,0
밥 먹고 갈래요?,2019_09_12,101,0
밥 먹고 갈래요?,2019_09_13,101,0
밥 먹고 갈래요?,2019_09_14,101,0
